0.2701 	WARNING 	t of last frame was 24.58ms (=1/40)
0.3375 	WARNING 	t of last frame was 19.87ms (=1/50)
1.6862 	DATA 	Mouse: Left button down, pos=(1306,511)
1.7817 	DATA 	Mouse:  Left button up, pos=(1306,511)
1.8975 	DATA 	Keypress: space
3.8087 	DATA 	Keypress: space
13.1693 	DATA 	Mouse: Left button down, pos=(1306,511)
13.3055 	DATA 	Mouse:  Left button up, pos=(1306,511)
14.5177 	DATA 	Keypress: space
15.7376 	DATA 	Keypress: space
16.2275 	DATA 	Keypress: space
16.9275 	DATA 	Keypress: space
1.2021 	DATA 	Mouse: Left button down, pos=(1231,640)
1.3074 	DATA 	Mouse:  Left button up, pos=(1231,640)
1.4462 	DATA 	Keypress: space
2.2956 	DATA 	Keypress: space
4.2466 	DATA 	Keypress: space
5.0751 	DATA 	Keypress: space
5.4455 	DATA 	Keypress: space
5.9559 	DATA 	Keypress: space
198.0079 	DATA 	Mouse: Left button down, pos=(1011,627)
198.1212 	DATA 	Mouse:  Left button up, pos=(1011,627)
198.2854 	DATA 	Keypress: space
199.1552 	DATA 	Keypress: space
200.2151 	DATA 	Keypress: space
200.8655 	DATA 	Keypress: space
201.3353 	DATA 	Keypress: space
201.8967 	DATA 	Keypress: space
230.7552 	DATA 	Mouse: Left button down, pos=(1286,560)
230.8529 	DATA 	Mouse:  Left button up, pos=(1286,560)
230.9755 	DATA 	Keypress: space
231.4552 	DATA 	Keypress: space
232.0464 	DATA 	Keypress: space
232.7155 	DATA 	Keypress: space
233.1350 	DATA 	Keypress: space
233.7353 	DATA 	Keypress: space
